No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,LATITUD,LONGITUD
166,ANTONIO NARINO,VECINAL,LUNA PARK,Calle 12A Sur #14A-41,4.585922399999999,-74.09609139999999
167,ANTONIO NARINO,VECINAL,SANTA ISABEL,Calle 12A Sur #29-2,19.3666779,-99.0670844
168,ANTONIO NARINO,ZONAL,VILLA MAYOR CEMENTERIO,Calle 36 Sur #34b-20,4.591746700000001,-74.1206589
169,PUENTE ARANDA,VECINAL,CANCHA BOCHICA,Carrera 37 #1H-40,3.4307923,-76.550077
170,PUENTE ARANDA,ZONAL,CIUDAD MONTES,Calle 10 Sur #38A-25,4.6022291,-74.1153054
171,PUENTE ARANDA,ZONAL,EL JAZMIN,Calle 1G #41A-13,4.6099575,-74.1161432
172,PUENTE ARANDA,VECINAL,GORGONZOLA,Calle 4F #40-50,4.614838,-74.10812570000002
173,PUENTE ARANDA,ZONAL,INDUSTRIAL LOS EJIDOS,Calle 11A #36-08,4.6164242,-74.09894109999999
174,PUENTE ARANDA,ZONAL,MILENTA TEJAR SAN EUSEBIO,Calle 20 Sur #52A-06,19.125171,-97.6382436
175,PUENTE ARANDA,ZONAL,PARQUE INDUSTRIAL LOS EJIDOS,Avenida Carrera 36 #9-55,4.6024199,-74.1112991
176,PUENTE ARANDA,ESCENARIO DEPORTIVO,UNIDAD DEPORTIVA ESTADIO LA ALQUERÍA,Carrera 52b #42B-02,4.5966647,-74.13497219999999
177,PUENTE ARANDA,VECINAL,URBANIZACIÓN PRADERA SUR,Carrera 65 #3-31,6.2117391,-75.5873317
178,PUENTE ARANDA,VECINAL,URBANIZACIÓN PRIMAVERA NORTE,Transversal 42A #4B-95,4.6177258,-74.1096146
179,PUENTE ARANDA,ZONAL,VERAGUAS,Avenida Carrera 36 #2B-52,4.603022999999999,-74.110725
180,CANDELARIA,ZONAL,LA CONCORDIA,Carrera 1 #12b-90,4.6837795,-74.1498031
181,RAFAEL URIBE URIBE,METROPOLITANO,BOSQUES DE SAN CARLOS,Calle 34 Sur #12-96,19.0283359,-98.1834788
182,RAFAEL URIBE URIBE,VECINAL,DESARROLLO PALERMO SUR,Calle 51 Sur con Carrera 1 Este,4.5422405,-74.10974
183,RAFAEL URIBE URIBE,ZONAL,DIANA TURBAY,Carrera 2A Este #0 Este-18,4.545990199999999,-74.1049323
184,RAFAEL URIBE URIBE,ESCENARIO DEPORTIVO,GIMNASIO DEL SUR,Calle 22 Sur #21-35,4.5842884,-74.10538729999999
185,RAFAEL URIBE URIBE,ZONAL,LOS MOLINOS II,Carrera 5 con Calle 48p Bis Sur,4.5494478,-74.104735
186,RAFAEL URIBE URIBE,ZONAL,PARQUE ESTADIO OLAYA HERRERA,Carrera 21 #26 sur-25,19.3582949,-99.0696882
187,RAFAEL URIBE URIBE,ESCENARIO DEPORTIVO,PIJAOS JORGE E.CABALIER,Carrera 10 con Calle 34 Bis BSur,4.5667707,-74.1025444
188,RAFAEL URIBE URIBE,ZONAL,QUIROGA,Calle 31B Sur #22-25,4.581252099999999,-74.1136569
189,RAFAEL URIBE URIBE,VECINAL,SAN JOSÉ,Carrera 12D #24 sur-75,4.5765613,-74.10190940000001
190,RAFAEL URIBE URIBE,METROPOLITANO,SANTA LUCIA,Carrera 17 con Calle 38a Sur,4.5984073,-74.1278255
191,RAFAEL URIBE URIBE,BOLSILLO,URBANIZACIÓN GUSTAVO RESTREPO,Calle 28a Sur #15a-10,4.5777779,-74.1087606
192,RAFAEL URIBE URIBE,VECINAL,URBANIZACIÓN LOS MOLINOS I SECTOR,Transversal 5A con Calle 48m Sur,4.5539068,-74.1083585
193,RAFAEL URIBE URIBE,VECINAL,URBANIZACIÓN MARRUECOS II SECTOR,Calle 48Q Sur #5J-86,4.554155499999999,-74.1125836
194,CIUDAD BOLIVAR,ZONAL,ALTOS DE LA ESTANCIA,Carrera 76c con Diagonal 67a Sur,4.5801246,-74.1783945
195,CIUDAD BOLIVAR,ZONAL,ARBORIZADORA ALTA,Carrera 42 #73A Sur-1,4.5680999,-74.16288589999999
196,CIUDAD BOLIVAR,METROPOLITANO,ARBORIZADORA ALTA METROPOLITANO,Calle 77 Sur #33-1,4.5645773,-74.1683741
197,CIUDAD BOLIVAR,ZONAL,BUENA VISTA PORVENIR,Carrera 17f con Calle 76 Sur,4.5412675,-74.1393274
198,CIUDAD BOLIVAR,ZONAL,CANDELARIA LA NUEVA,Calle 62 Sur #22i-47,4.5684303,-74.1468422
199,CIUDAD BOLIVAR,VECINAL,DESARROLLO ARBORIZADORA ALTA,Diagonal 73A Sur #36-46,4.5653589,-74.1644912
200,CIUDAD BOLIVAR,VECINAL,DESARROLLO CARACOLI,Carrera 74b con Calle 77 Sur,4.5727154,-74.17345139999999
201,CIUDAD BOLIVAR,VECINAL,DESARROLLO DOMINGO LAIN II,Diagonal 64ABIS Sur #17G-68,4.5537696,-74.140909
202,CIUDAD BOLIVAR,VECINAL,DESARROLLO EL PARAISO,Carrera 27q con Calle 71m Sur,4.5502285,-74.16414619999999
203,CIUDAD BOLIVAR,ZONAL,EL TALLER EL ENSUEÑO,Calle 68 Sur #70d-11,4.585893899999999,-74.1605507
204,CIUDAD BOLIVAR,ZONAL,ILLIMANI (PARAISO),Carrera 27b con Calle 72c Sur,4.546914,-74.16107579999999
205,CIUDAD BOLIVAR,ZONAL,LA ESTANCIA,Carrera 74c con Calle 59 Sur,4.5929873,-74.1735837
206,CIUDAD BOLIVAR,ZONAL,LA JOYA,Transversal 18i con Calle 80b sur,4.5361615,-74.1472368
207,CIUDAD BOLIVAR,ZONAL,MEISSEN,Calle 62 BIS Sur #16C-40,4.5571984,-74.1359812
208,CIUDAD BOLIVAR,ZONAL,SIERRA MORENA,Diagonal 73c Sur #55-40,4.5776287,-74.1675412
209,CIUDAD BOLIVAR,VECINAL,URBANIZACIÓN BALMORAL CESIÓN GUADALUPE,Carrera 71 con Calle 57r Sur,4.5955492,-74.1639929
210,CIUDAD BOLIVAR,VECINAL,URBANIZACIÓN LA CORUÑA,Calle 58C Sur #47-06,4.5775028,-74.1512742
