X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid
-74.0752033501656,4.64191113336882,3857,260A00,00,Br. Galerías,AC 53,AC 53 - KR 25,Teusaquillo,-74.07520335,4.64191113,260,S,AC 53 - KR 25 (260A00),AC 53 - KR 25,Avenida Calle 53 Carrera 25,A,{CF54179A-8689-484A-BA46-F3FA2FB7780B}
-74.0343077582764,4.71301296308489,3858,260A01,01,Éxito Country,Cl 134,AC 134 - KR 9B,Usaquén,-74.03430776,4.71301296,260,S,AC 134 - KR 9B (260A01),AC 134 - KR 9B,Avenida Calle 134 Carrera Novena Be,B,{A8EAFB05-762F-4EC5-A92A-FFF272A4C0CE}
-74.0523738941829,4.74600780802598,3859,260A02,02,Urb. La Estancia,Cl 163B,CL 163B - KR 52,Suba,-74.05237389,4.74600781,260,S,CL 163B - KR 52 (260A02),CL 163B - KR 52,Calle 163 Be Carrera 52,B,{1547160B-8520-467B-819A-30B9636DB311}
-74.0985994259291,4.69344325783865,3860,260A04,04,IED TABORA SEDE A,KR  77B,KR 77B - CL 74-25,Engativá,-74.09859943,4.69344326,260,S,KR 77B - CL 74-25 (260A04),KR 77B - CL 74-25,Carrera 77 Be Calle 74,D,{CB6A81AB-BA95-44E2-A324-300FCFD3DFDB}
-74.125444810397,4.70512730779628,3861,260A05,05,Br. San Antonio Engativá,Cl 70,CL 70 - KR 107A,Engativá,-74.12544481,4.70512731,260,S,CL 70 - KR 107A (260A05),CL 70 - KR 107A,Calle 70 Carrera 107 A,D,{B51C1A96-ECC4-42B7-997B-F70FCFC5F5F8}
-74.110238949892,4.63387594119812,3862,260A06,06,Br. Puente Aranda,AC  17,AC 17 - KR 59,Puente Aranda,-74.11023895,4.63387594,260,S,AC 17 - KR 59 (260A06),AC 17 - KR 59,Avenida Calle 17 Carrera 59,K,{8DBE3B82-DEF4-4736-B5EF-090A81E6FB2D}
-74.1129749998452,4.61944199986185,3863,260A07,07,IED Sorrento,Cl 4F,CL 4F - KR 53,Puente Aranda,-74.112975,4.619442,260,S,CL 4F - KR 53 (260A07),CL 4F - KR 53,Calle Cuarta F Carrera 53,F,{F45D3248-0817-476B-94B4-44FA3A2A114B}
-74.1987140659055,4.62408346295001,3864,260A09,09,Br. San Antonio,Cl 71 S,CL 71 Sur - KR 88F,Bosa,-74.19871407,4.62408346,260,S,CL 71 Sur - KR 88F (260A09),CL 71 Sur - KR 88F,Calle 71 Sur Carrera 88 F,G,{727C58D3-04C0-4F0C-B208-932410138416}
-74.1500073090779,4.54418129628415,3865,260A11,11,Br. San Rafael,Dg  73A S,DG 73A Sur - TV 18K,Ciudad Bolívar,-74.15000731,4.5441813,260,S,DG 73A Sur - TV 18K (260A11),DG 73A Sur - TV 18K,Diagonal 73 A Sur Transversal 18 K,H,{8D3B5A1C-3135-46E3-8FA2-304131911BE5}
-74.109581279598,4.54654707631986,3866,260A12,12,IED Colombia Viva,DG 49 Sur,DG 49 Sur - KR 3B,Rafael Uribe,-74.10958128,4.54654708,260,S,DG 49 Sur - KR 3B  (260A12),DG 49 Sur - KR 3B,Diagonal 49 Sur Carrera Tercera Be,H,{1B8C583D-1EB4-43EC-99EB-D230EDA4D699}
-74.0799820000177,4.57320399982964,3867,260A13,13,Br. San Cristóbal Sur,AC 11 Sur,AC 11 Sur - KR 3 Este,San Cristóbal,-74.079982,4.573204,260,S,AC 11 Sur - KR 3 Este (260A13),AC 11 Sur - KR 3 Este,Avenida Calle 11 Sur Carrera Tercera Este,L,{6ABA0A25-9D24-445A-BD6F-80DBC344DBDB}
-74.0677823216285,4.64053222432818,3868,261A00,00,Br. Quesada,AC  57,AC 53 - KR 15,Teusaquillo,-74.06778232,4.64053222,261,S,AC 53 - KR 15 (261A00),AC 53 - KR 15,Avenida Calle 53 Carrera 15,A,{24A7D19E-6692-4F0D-80D0-D3E6F9A66AD1}
-74.0310774998449,4.71212539183718,3869,261A01,01,Clínica El Bosque,Cl 134,AC 134 - KR 7 A,Usaquén,-74.0310775,4.71212539,261,S,AC 134 - KR 7 A (261A01),AC 134 - KR 7 A,Avenida Calle 134 Carrera Séptima A,B,{8A9613C6-0CFC-4657-8D9F-FC70842AF08E}
-74.0507719999396,4.74549799980586,3870,261A02,02,Britalia Las Margaritas,KR  50,CL 163B - KR 49,Suba,-74.050772,4.745498,261,S,CL 163B - KR 49 (261A02),CL 163B - KR 49,Carrera 50 165,B,{B6487F13-6EA2-4B8D-9AE9-A5804EF8AAA8}
