precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
1900000000,302.72,3,5,5,LISBOA USAQUEN,Entre 10 y 20 años,870000.0,3,512-M3344882,0,1,0,0,0,1,0,1,0,1,,USAQUEN
1850000000,240.0,3,3,6,LA CAROLINA USAQUEN,Entre 5 y 10 años,1270000.0,4,2529-M3669663,0,0,0,0,0,0,0,0,0,1,,USAQUEN
980000000,122.16,2,3,6,SANTA BARBARA USAQUEN,Entre 5 y 10 años,600000.0,2,11013-M4150046,0,1,0,0,0,0,0,1,1,0,1.0,USAQUEN
890000000,130.0,3,4,5,LISBOA USAQUEN,Entre 10 y 20 años,609000.0,2,771-M4151320,0,0,0,1,0,0,0,0,0,1,,USAQUEN
1500000000,195.81,3,3,6,SANTA ANA USAQUEN,Más de 20 años,,2,73-M4061979,0,0,0,1,0,0,0,0,0,0,0.0,USAQUEN
500000000,101.0,3,3,4,CEDRITOS,Más de 20 años,310000.0,2,343-M3629013,0,0,0,0,0,1,0,0,1,0,1.0,USAQUEN
810000000,121.0,3,3,5,BELLA SUIZA USAQUEN,Entre 10 y 20 años,650000.0,2,815-M3895726,0,1,0,1,0,0,0,1,0,1,,USAQUEN
740000000,127.0,3,4,5,ALAMEDA 170 USAQUEN,Entre 10 y 20 años,683000.0,2,771-M3373264,0,1,0,1,0,1,0,1,0,1,,USAQUEN
980000000,122.16,2,3,6,SANTA BARBARA USAQUEN,Entre 5 y 10 años,600000.0,2,11013-M3795759,0,1,0,0,0,0,0,1,1,0,1.0,USAQUEN
7500000000,624.84,5,5,6,SANTA BARBARA ALTA USAQUEN,Entre 10 y 20 años,3400000.0,4,897-1050033,0,1,1,0,0,1,0,1,1,0,1.0,USAQUEN
4300000000,330.0,4,5,6,SANTA BARBARA ALTA USAQUEN,Entre 10 y 20 años,2860000.0,3,512-M4033560,0,1,0,0,0,1,0,1,0,1,,USAQUEN
1580000000,188.0,3,5,6,USAQUEN,Entre 5 y 10 años,1097000.0,2,464-M4114559,0,1,0,0,0,0,0,1,1,0,1.0,USAQUEN
3500000000,392.57,4,5,6,USAQUEN,Más de 20 años,3500000.0,4,11301-M3491485,0,1,0,0,0,0,0,0,1,0,1.0,USAQUEN
