precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
163000000,43.0,2,2,3.0,VERBENAL SAN ANTONIO CHICO,Entre 10 y 20 años,,0,MC4113271,0,0,0,0,0,0,0,1,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769651,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769820,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769773,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769782,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769633,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769656,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769769,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
260000000,71.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,153000.0,1,9947-M3769827,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
1090000000,133.0,3,3,5.0,COUNTRY CLUB USAQUEN,Entre 0 y 5 años,,2,2671-M3674243,0,0,0,0,0,0,0,0,1,0,1.0,CHAPINERO
330000000,60.0,1,1,5.0,NUEVO COUNTRY USAQUEN,Entre 5 y 10 años,340000.0,1,2671-6356,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
5990000000,718.0,4,5,6.0,RECODO DEL COUNTRY USAQUEN,Entre 10 y 20 años,2679000.0,4,2671-M3803124,0,0,0,1,0,0,1,0,1,0,1.0,CHAPINERO
340000000,74.72,3,2,4.0,LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,246000.0,1,2444-M4130914,0,1,0,0,0,0,0,1,0,1,,CHAPINERO
850000000,101.0,2,3,6.0,NUEVO COUNTRY USAQUEN,Entre 0 y 5 años,500000.0,2,2671-M4129807,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
860000000,160.0,3,3,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,753000.0,2,2671-8941,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
1410000000,131.0,3,3,6.0,NUEVO COUNTRY USAQUEN,Entre 5 y 10 años,461300.0,2,2671-M3984332,0,0,0,0,0,1,0,0,0,1,,CHAPINERO
485000000,84.0,2,2,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,320000.0,1,2671-M4015585,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
2000000000,313.0,3,4,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,1374000.0,3,2671-7247,0,0,0,0,0,0,0,0,1,0,1.0,CHAPINERO
2400000000,268.52,3,4,6.0,CERRO NORTE USAQUEN,Entre 10 y 20 años,1600000.0,3,2671-M3773428,0,0,0,0,0,0,0,1,1,0,1.0,CHAPINERO
3400000000,329.41,3,4,6.0,CERRO NORTE USAQUEN,Entre 5 y 10 años,1800000.0,4,2671-M3773080,0,0,0,0,0,0,0,0,1,0,1.0,CHAPINERO
1500000000,220.0,4,3,5.0,BELLA SUIZA ALTA USAQUEN COUNTRY,Entre 10 y 20 años,1033000.0,2,MC4042047,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
175000000,52.0,3,2,3.0,SAN ANTONIO NORTE USAQUEN ORQUIDEAS,Más de 20 años,,0,MC4029137,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
158000000,40.0,3,1,3.0,SAN ANTONIO NORTE USAQUEN ORQUIDEAS,Entre 5 y 10 años,135000.0,0,MC4015041,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
1200000000,200.0,4,4,6.0,RECODO DEL COUNTRY USAQUEN COUNTRY,Más de 20 años,863000.0,3,MC4020481,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
200000000,46.0,3,1,2.0,SAN ANTONIO NORTE USAQUEN 170 Y ALREDORES,Entre 5 y 10 años,151000.0,0,MC4022333,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
450000000,51.0,1,2,5.0,CHAPINERO ALTO,Entre 0 y 5 años,250000.0,1,13436-M3853187,0,0,0,1,1,1,0,0,0,1,6.0,CHAPINERO
350000000,57.5,2,2,3.0,CHAPINERO,Más de 20 años,616400.0,1,11369-M4115048,0,0,0,1,1,0,0,0,0,0,0.0,CHAPINERO
3000000000,299.0,4,5,4.0,PARDO RUBIO,Entre 10 y 20 años,1450000.0,4,2266-M3566289,0,0,0,0,1,1,0,0,1,0,60.0,CHAPINERO
1075000000,180.0,3,4,4.0,CHAPINERO ALTO,Más de 20 años,840000.0,2,5168-M3694521,0,0,0,1,1,1,0,0,0,1,5.0,CHAPINERO
919000000,115.0,2,2,5.0,EMAUS,Entre 10 y 20 años,1300000.0,2,4957-M4081027,0,0,0,0,1,0,0,0,0,1,3.0,CHAPINERO
289999999,35.03,1,1,4.0,CHAPINERO CENTRAL,Entre 0 y 5 años,180800.0,1,11139-M3866236,0,1,1,0,0,1,0,0,1,0,1.0,CHAPINERO
540000000,84.0,2,2,4.0,CHAPINERO ALTO,Entre 10 y 20 años,650000.0,1,5168-M4086031,0,0,0,1,1,0,0,0,0,0,0.0,CHAPINERO
320000000,46.0,1,2,3.0,CHAPINERO CENTRAL,Entre 10 y 20 años,319000.0,1,2259-M3774143,0,0,0,0,0,0,0,0,1,0,,CHAPINERO
1800000000,229.0,3,4,6.0,ALTOS DEL RETIRO,Más de 20 años,1300000.0,4,2328-M3856512,0,0,0,1,0,0,0,0,1,0,20.0,CHAPINERO
1200000000,167.0,3,4,6.0,MARIA CRISTINA,Entre 10 y 20 años,660000.0,2,2328-M3029007,0,0,0,0,0,0,1,1,0,0,0.0,CHAPINERO
616000000,103.9,3,2,4.0,CHAPINERO,Entre 0 y 5 años,,1,15080-M3887193,0,0,0,1,0,0,0,0,1,1,2.0,CHAPINERO
2200000000,216.0,3,5,6.0,ROSALES EMAUS,Entre 5 y 10 años,1350000.0,4,3072-M3359825,0,1,0,0,0,1,0,0,0,1,11.0,CHAPINERO
390000000,89.0,2,2,4.0,CHAPINERO CENTRAL,Más de 20 años,240000.0,1,4337-M3394930,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
950000000,153.0,3,3,6.0,ROSALES OTRO,Más de 20 años,1026000.0,2,3236-M2507667,0,0,0,0,0,0,0,0,0,1,3.0,CHAPINERO
360000000,70.0,2,1,4.0,PARDU RUBIO,Más de 20 años,360000000.0,1,3147-M4038954,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
280000000,46.0,1,2,3.0,CHAPINERO CENTRAL,Entre 0 y 5 años,200000.0,1,2821-M2436072,0,0,0,0,0,1,0,0,0,1,2.0,CHAPINERO
